iter	RMSE
0	111.5832973
1	104.4581788
2	97.80002419
3	91.6116574
4	85.78802437
5	80.30907111
6	75.31804389
7	70.59252623
8	66.1491946
9	62.2370206
10	58.59371963
11	54.95667115
12	51.54364748
13	48.37992417
14	45.45618842
15	42.70877204
16	40.1206429
17	37.67445185
18	35.45434357
19	33.35391306
20	31.41016705
21	29.60058887
22	27.93639544
23	26.35602176
24	24.87290341
25	23.47864531
26	22.19971637
27	21.00817007
28	19.88060141
29	18.82851716
30	17.89677379
31	16.99055194
32	16.1387116
33	15.36586214
34	14.65869613
35	13.98292631
36	13.3561423
37	12.7491026
38	12.19197367
39	11.65796202
40	11.2033919
41	10.7696378
42	10.37888385
43	9.960694953
44	9.600228889
45	9.265707438
46	8.951417508
47	8.671167269
48	8.399442548
49	8.171315016
50	7.94594575
51	7.72294499
52	7.540145762
53	7.3263381
54	7.164099751
55	7.024699722
56	6.838715159
57	6.674303754
58	6.528200272
59	6.402936037
60	6.260444612
61	6.161681701
62	6.059389789
63	5.957065953
64	5.847855347
65	5.76686423
66	5.679179122
67	5.615385253
68	5.510449572
69	5.434707963
70	5.372033829
71	5.322776173
72	5.237006637
73	5.163291667
74	5.102134242
75	5.042215723
76	4.960820717
77	4.913303972
78	4.862758579
79	4.808736748
80	4.771792557
81	4.721159838
82	4.683848714
83	4.654702465
84	4.619693864
85	4.562986406
86	4.511765449
87	4.477131038
88	4.439208717
89	4.404916999
90	4.359288841
91	4.336313904
92	4.315296945
93	4.288196542
94	4.2546105
95	4.232628674
96	4.202887324
97	4.178022199
98	4.153255671
99	4.129451376
100	4.104769795
101	4.07038107
102	4.038601722
103	4.015681002
104	3.987789883
105	3.977108352
106	3.954761145
107	3.933305235
108	3.916881458
109	3.883235769
110	3.864458501
111	3.848033135
112	3.836394535
113	3.817628703
114	3.806831752
115	3.791831485
116	3.778274924
117	3.762657901
118	3.741641549
119	3.725929422
120	3.715434028
121	3.708066933
122	3.699056471
123	3.677557323
124	3.662765968
125	3.647755697
126	3.625813593
127	3.614324195
128	3.5940607
129	3.578171618
130	3.565062575
131	3.547230867
132	3.53620094
133	3.527221176
134	3.516242081
135	3.507261998
136	3.497770147
137	3.485079815
138	3.479721437
139	3.468592426
140	3.459148527
141	3.444190677
142	3.434144366
143	3.42943977
144	3.419635593
145	3.416005671
146	3.408095335
147	3.400263202
148	3.390279962
149	3.381903191
150	3.369302393
151	3.358862963
152	3.347318854
153	3.34249733
154	3.333618769
155	3.321897218
156	3.316042508
157	3.305864755
158	3.298028006
159	3.289125191
160	3.286726828
161	3.284215324
162	3.27796559
163	3.272707086
164	3.265162375
165	3.263071412
166	3.260204692
167	3.250815916
168	3.245028481
169	3.237267307
170	3.228351661
171	3.226419686
172	3.222894821
173	3.217131424
174	3.210612001
175	3.203521237
176	3.199100583
177	3.193691293
178	3.192102185
179	3.190484331
180	3.185652467
181	3.181862055
182	3.176506592
183	3.170650043
184	3.165506056
185	3.163010459
186	3.158393367
187	3.154022722
188	3.15133949
189	3.144604948
190	3.143388473
191	3.142280731
192	3.138695874
193	3.132914564
194	3.129760192
195	3.128754021
196	3.125048299
197	3.12225183
198	3.118811025
199	3.117537169
200	3.11230255
201	3.108084741
202	3.106836947
203	3.10231076
204	3.101195155
205	3.097204412
206	3.09530243
207	3.092133738
208	3.091150707
209	3.089388301
210	3.087801387
211	3.084401597
212	3.081719365
213	3.079116836
214	3.076355855
215	3.07301754
216	3.070320423
217	3.069581167
218	3.0670884
219	3.06422509
220	3.061719798
221	3.060896093
222	3.058375742
223	3.055830144
224	3.05494075
225	3.052673023
226	3.04963965
227	3.047328602
228	3.046653775
229	3.044111942
230	3.041509096
231	3.040809177
232	3.038084667
233	3.035858616
234	3.033603847
235	3.033103334
236	3.032556396
237	3.030241173
238	3.028479844
239	3.026709706
240	3.026005529
241	3.023751455
242	3.021894136
243	3.020696523
244	3.018978406
245	3.018428424
246	3.016836342
247	3.013881673
248	3.0127374
249	3.011187434
250	3.00913032
251	3.007638136
252	3.007061452
253	3.00560472
254	3.003239194
255	3.001368464
256	2.999628402
257	2.999281482
258	2.997707362
259	2.996158088
260	2.994666692
261	2.993259674
262	2.992934127
263	2.991261651
264	2.98969536
265	2.989339403
266	2.988034936
267	2.986658516
268	2.985230289
269	2.98411158
270	2.983088163
271	2.982658159
272	2.981583095
273	2.98076755
274	2.980355812
275	2.978908879
276	2.977601505
277	2.976605322
278	2.975269149
279	2.974277054
280	2.972611061
281	2.97118249
282	2.969661265
283	2.969177352
284	2.968207909
285	2.96664449
286	2.965161887
287	2.964125931
288	2.963700419
289	2.963315537
290	2.962299497
291	2.960665517
292	2.959882007
293	2.958640868
294	2.958157225
295	2.957232349
296	2.956851471
297	2.955999315
298	2.955186267
299	2.954910595
300	2.95371204
301	2.952515635
302	2.951375117
303	2.950710388
304	2.949854686
305	2.948946982
306	2.948614375
307	2.947936452
308	2.946818132
