iter	Passed	Remaining
0	3	3421
1	6	3158
2	10	3408
3	13	3269
4	16	3216
5	19	3198
6	22	3142
7	25	3154
8	27	3072
9	30	2996
10	32	2944
11	35	2895
12	37	2853
13	39	2816
14	42	2782
15	44	2751
16	47	2730
17	49	2711
18	52	2691
19	54	2671
20	56	2653
21	59	2641
22	61	2625
23	64	2613
24	66	2601
25	69	2587
26	71	2570
27	73	2559
28	76	2546
29	78	2536
30	80	2530
31	83	2516
32	85	2507
33	88	2503
34	90	2494
35	92	2482
36	95	2476
37	97	2467
38	99	2457
39	102	2448
40	104	2441
41	106	2431
42	108	2421
43	110	2411
44	113	2399
45	115	2390
46	117	2383
47	119	2374
48	121	2365
49	124	2356
50	126	2348
51	128	2340
52	130	2332
53	132	2323
54	134	2315
55	137	2309
56	139	2300
57	141	2292
58	143	2284
59	145	2276
60	147	2271
61	149	2264
62	151	2258
63	153	2252
64	156	2245
65	158	2239
66	160	2233
67	162	2229
68	164	2222
69	166	2217
70	169	2211
71	171	2204
72	173	2200
73	175	2194
74	177	2189
75	179	2184
76	181	2177
77	183	2172
78	185	2168
79	188	2163
80	190	2157
81	192	2152
82	194	2146
83	196	2142
84	198	2137
85	201	2136
86	203	2135
87	205	2133
88	208	2132
89	210	2133
90	213	2133
91	215	2129
92	218	2128
93	220	2122
94	222	2117
95	224	2113
96	226	2109
97	228	2104
98	230	2100
99	233	2097
100	235	2092
101	237	2088
102	239	2085
103	241	2080
104	243	2078
105	245	2073
106	247	2068
107	249	2064
108	251	2059
109	254	2056
110	256	2052
111	258	2048
112	260	2045
113	262	2041
114	264	2036
115	266	2032
116	268	2028
117	270	2024
118	273	2021
119	275	2017
120	277	2014
121	279	2011
122	281	2007
123	283	2004
124	285	1999
125	287	1996
126	289	1992
127	291	1988
128	294	1986
129	296	1984
130	298	1981
131	300	1978
132	302	1975
133	305	1971
134	307	1968
135	309	1966
136	311	1962
137	314	1961
138	316	1958
139	318	1956
140	320	1954
141	323	1953
142	325	1952
143	327	1949
144	330	1948
145	332	1944
146	334	1942
147	337	1940
148	339	1939
149	341	1937
150	344	1934
151	346	1932
152	348	1929
153	350	1925
154	352	1922
155	354	1919
156	356	1915
